Symbol,Name
AAPL,"Apple Inc."
MSFT,"Microsoft Corporation"
AMZN,"Amazon.com, Inc."
NVDA,"NVIDIA Corporation"
GOOGL,"Alphabet Inc. (Class A)"
GOOG,"Alphabet Inc. (Class C)"
META,"Meta Platforms, Inc."
TSLA,"Tesla, Inc."
AVGO,"Broadcom Inc."
ASML,"ASML Holding N.V."
COST,"Costco Wholesale Corporation"
PEP,"PepsiCo, Inc."
ADBE,"Adobe Inc."
AMD,"Advanced Micro Devices, Inc."
CSCO,"Cisco Systems, Inc."
NFLX,"Netflix, Inc."
TMUS,"T-Mobile US, Inc."
INTC,"Intel Corporation"
QCOM,"QUALCOMM Incorporated"
TXN,"Texas Instruments Incorporated"
INTU,"Intuit Inc."
AMGN,"Amgen Inc."
HON,"Honeywell International Inc."
AMAT,"Applied Materials, Inc."
SBUX,"Starbucks Corporation"
ISRG,"Intuitive Surgical, Inc."
MDLZ,"Mondelez International, Inc."
BKNG,"Booking Holdings Inc."
GILD,"Gilead Sciences, Inc."
ADI,"Analog Devices, Inc."
LRCX,"Lam Research Corporation"
ADP,"Automatic Data Processing, Inc."
REGN,"Regeneron Pharmaceuticals, Inc."
VRTX,"Vertex Pharmaceuticals Incorporated"
PYPL,"PayPal Holdings, Inc."
CSX,"CSX Corporation"
MAR,"Marriott International, Inc."
PANW,"Palo Alto Networks, Inc."
SNPS,"Synopsys, Inc."
CDNS,"Cadence Design Systems, Inc."
KLAC,"KLA Corporation"
MELI,"MercadoLibre, Inc."
MNST,"Monster Beverage Corporation"
ORLY,"O'Reilly Automotive, Inc."
ABNB,"Airbnb, Inc."
CTAS,"Cintas Corporation"
FTNT,"Fortinet, Inc."
AEP,"American Electric Power Company, Inc."
EXC,"Exelon Corporation"
AZN,"AstraZeneca PLC"
SIRI,"Sirius XM Holdings Inc."
NXPI,"NXP Semiconductors N.V."
PAYX,"Paychex, Inc."
CPRT,"Copart, Inc."
PCAR,"PACCAR Inc"
MCHP,"Microchip Technology Incorporated"
WDAY,"Workday, Inc."
ROST,"Ross Stores, Inc."
KDP,"Keurig Dr Pepper Inc."
LULU,"Lululemon Athletica Inc."
EA,"Electronic Arts Inc."
BIIB,"Biogen Inc."
FAST,"Fastenal Company"
IDXX,"IDEXX Laboratories, Inc."
ODFL,"Old Dominion Freight Line, Inc."
VRSK,"Verisk Analytics, Inc."
XEL,"Xcel Energy Inc."
DLTR,"Dollar Tree, Inc."
WBA,"Walgreens Boots Alliance, Inc."
CTSH,"Cognizant Technology Solutions Corporation"
BKR,"Baker Hughes Company"
CEG,"Constellation Energy Corporation"
GEHC,"GE HealthCare Technologies Inc."
ANSS,"ANSYS, Inc."
CRWD,"CrowdStrike Holdings, Inc."
DXCM,"Dexcom, Inc."
FANG,"Diamondback Energy, Inc."
MRVL,"Marvell Technology, Inc."
TTD,"The Trade Desk, Inc."
ZS,"Zscaler, Inc."
TEAM,"Atlassian Corporation"
DDOG,"Datadog, Inc."
MRNA,"Moderna, Inc."
ILMN,"Illumina, Inc."
WBD,"Warner Bros. Discovery, Inc."
EXPE,"Expedia Group, Inc."
SGEN,"Seagen Inc."
ALGN,"Align Technology, Inc."
SPLK,"Splunk Inc."
ZM,"Zoom Video Communications, Inc."
OKTA,"Okta, Inc."
DOCU,"DocuSign, Inc."
PTON,"Peloton Interactive, Inc."
CHTR,"Charter Communications, Inc."
DASH,"DoorDash, Inc."
Z,"Zillow Group, Inc."
COIN,"Coinbase Global, Inc."
